# cuda_transfer_trace_v1 coverage=ordinary_backend_set_get_only timing=host_API_wall_not_DMA
id,context,request_id,seq_id,phase,pos_min,pos_max,backend_api,direction,tensor,offset_bytes,size_bytes,device,host_kind,pointer_status,start_monotonic_ns,copy_api_wall_ns,sync_api_wall_ns,copy_status,sync_status
37,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-21#0",0,6451200,0,pageable,0,862938739190836,306326,17471,0,0
38,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-22 (reshaped)",0,645120,0,pageable,0,862938740331293,52623,710,0,0
39,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-22",0,127016,0,pageable,0,862938740403237,16721,370,0,0
40,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-22#0",0,6451200,0,pageable,0,862938844155354,316706,20661,0,0
41,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-23 (reshaped)",0,645120,0,pageable,0,862938845206396,52523,490,0,0
42,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-23",0,127016,0,pageable,0,862938845274770,13930,260,0,0
43,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-23#0",0,6451200,0,pageable,0,862939254292412,372069,20221,0,0
44,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-24 (reshaped)",0,645120,0,pageable,0,862939255469101,54092,570,0,0
45,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-24",0,127016,0,pageable,0,862939255531544,16241,270,0,0
46,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-24#0",0,6451200,0,pageable,0,862939476584541,352277,20251,0,0
47,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-25 (reshaped)",0,645120,0,pageable,0,862939477754519,52393,520,0,0
48,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-25",0,127016,0,pageable,0,862939477816832,16531,280,0,0
49,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-25#0",0,6451200,0,pageable,0,862939751701860,352158,21541,0,0
50,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-26 (reshaped)",0,645120,0,pageable,0,862939752875418,56573,610,0,0
51,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-26",0,127016,0,pageable,0,862939752937772,17070,270,0,0
52,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-26#0",0,6451200,0,pageable,0,862940100975159,369248,14951,0,0
53,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-27 (reshaped)",0,645120,0,pageable,0,862940102051442,52203,530,0,0
54,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-27",0,127016,0,pageable,0,862940102113905,16261,260,0,0
55,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-27#0",0,6451200,0,pageable,0,862940451515560,354978,20761,0,0
56,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-28 (reshaped)",0,645120,0,pageable,0,862940452675478,52472,520,0,0
57,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-28",0,127016,0,pageable,0,862940452738241,16291,260,0,0
58,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-28#0",0,6451200,0,pageable,0,862940752014869,345377,24831,0,0
59,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-29 (reshaped)",0,645120,0,pageable,0,862940753197618,53612,610,0,0
60,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-29",0,127016,0,pageable,0,862940753263331,17011,330,0,0
61,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-29#0",0,6451200,0,pageable,0,862941069657678,351468,18010,0,0
62,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-30 (reshaped)",0,645120,0,pageable,0,862941070815126,54852,520,0,0
63,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-30",0,127016,0,pageable,0,862941070885209,16951,280,0,0
64,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-30#0",0,6451200,0,pageable,0,862941137936636,334556,20451,0,0
65,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-31 (reshaped)",0,645120,0,pageable,0,862941139003889,52212,530,0,0
66,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-31",0,127016,0,pageable,0,862941139067012,16881,260,0,0
67,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-31#0",0,6451200,0,pageable,0,862941165401488,316426,21201,0,0
68,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-32 (reshaped)",0,645120,0,pageable,0,862941166525794,53053,720,0,0
69,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-32",0,127016,0,pageable,0,862941166591287,16941,380,0,0
70,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-32#0",0,6451200,0,pageable,0,862941191886402,337707,20191,0,0
71,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-33 (reshaped)",0,645120,0,pageable,0,862941193044950,55373,670,0,0
72,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-33",0,127016,0,pageable,0,862941193122374,17310,341,0,0
73,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-33#0",0,6451200,0,pageable,0,862941270811128,329716,16441,0,0
74,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-34 (reshaped)",0,645120,0,pageable,0,862941271976816,55063,810,0,0
75,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-34",0,127016,0,pageable,0,862941272054600,17300,391,0,0
76,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-34#0",0,6451200,0,pageable,0,862941517283206,356788,22101,0,0
77,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-35 (reshaped)",0,645120,0,pageable,0,862941518591741,55803,670,0,0
78,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-35",0,127016,0,pageable,0,862941518666095,17361,270,0,0
79,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-35#0",0,6451200,0,pageable,0,862941615897229,349677,21281,0,0
80,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-36 (reshaped)",0,645120,0,pageable,0,862941617056706,51853,680,0,0
81,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-36",0,127016,0,pageable,0,862941617127270,16841,350,0,0
82,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-36#0",0,6451200,0,pageable,0,862941695311599,300155,22141,0,0
83,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-37 (reshaped)",0,645120,0,pageable,0,862941696424244,50303,510,0,0
84,target,25,0,prefill,0,62,get_tensor,D2H,"ffn_moe_topk-37",0,127016,0,pageable,0,862941696490517,16181,280,0,0
85,target,25,0,prefill,0,62,set_tensor,H2D,"CUDA0#ffn_moe_down-37#0",0,6451200,0,pageable,0,862941798888247,338927,20551,0,0
86,target,25,0,prefill,0,62,get_tensor,D2H,"hc_mixed-38 (reshaped)",0,645120,0,pageable,0,862941800045495,54253,560,0,0
