#Date        Time         gpu  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx   MB/s   MB/s 
 20260906    14:50:41       0     41      3 
 20260906    14:50:43       0      0      0 
 20260906    14:50:44       0      0      0 
 20260906    14:50:45       0      0      0 
 20260906    14:50:46       0    348      0 
 20260906    14:50:47       0    348     67 
 20260906    14:50:48       0     15      4 
 20260906    14:50:49       0     36     23 
 20260906    14:50:50       0    174     63 
 20260906    14:50:51       0      0      2 
