seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max
53,0,1,63,"blk.0.ffn_up_exps.weight",21,122,704000,85888000,704000,0,1,target,26,0,prefill,0,62
54,0,1,63,"blk.0.ffn_up_exps.weight",21,123,704000,86592000,704000,0,1,target,26,0,prefill,0,62
55,0,1,63,"blk.0.ffn_up_exps.weight",21,126,704000,88704000,704000,0,1,target,26,0,prefill,0,62
56,0,1,63,"blk.0.ffn_up_exps.weight",21,130,704000,91520000,704000,0,1,target,26,0,prefill,0,62
57,0,1,63,"blk.0.ffn_up_exps.weight",21,131,704000,92224000,704000,0,1,target,26,0,prefill,0,62
58,0,1,63,"blk.0.ffn_up_exps.weight",21,132,704000,92928000,704000,0,1,target,26,0,prefill,0,62
59,0,1,63,"blk.0.ffn_up_exps.weight",21,136,704000,95744000,704000,0,1,target,26,0,prefill,0,62
60,0,1,63,"blk.0.ffn_up_exps.weight",21,138,704000,97152000,704000,0,1,target,26,0,prefill,0,62
61,0,1,63,"blk.0.ffn_up_exps.weight",21,139,704000,97856000,704000,0,1,target,26,0,prefill,0,62
62,0,1,63,"blk.0.ffn_up_exps.weight",21,142,704000,99968000,704000,0,1,target,26,0,prefill,0,62
63,0,1,63,"blk.0.ffn_up_exps.weight",21,144,704000,101376000,704000,0,1,target,26,0,prefill,0,62
64,0,1,63,"blk.0.ffn_up_exps.weight",21,147,704000,103488000,704000,0,1,target,26,0,prefill,0,62
65,0,1,63,"blk.0.ffn_up_exps.weight",21,148,704000,104192000,704000,0,1,target,26,0,prefill,0,62
66,0,1,63,"blk.0.ffn_up_exps.weight",21,149,704000,104896000,704000,0,1,target,26,0,prefill,0,62
67,0,1,63,"blk.0.ffn_up_exps.weight",21,156,704000,109824000,704000,0,1,target,26,0,prefill,0,62
68,0,1,63,"blk.0.ffn_up_exps.weight",21,160,704000,112640000,704000,0,1,target,26,0,prefill,0,62
69,0,1,63,"blk.0.ffn_up_exps.weight",21,161,704000,113344000,704000,0,1,target,26,0,prefill,0,62
70,0,1,63,"blk.0.ffn_up_exps.weight",21,162,704000,114048000,704000,0,1,target,26,0,prefill,0,62
71,0,1,63,"blk.0.ffn_up_exps.weight",21,165,704000,116160000,704000,0,1,target,26,0,prefill,0,62
72,0,1,63,"blk.0.ffn_up_exps.weight",21,167,704000,117568000,704000,0,1,target,26,0,prefill,0,62
73,0,1,63,"blk.0.ffn_up_exps.weight",21,168,704000,118272000,704000,0,1,target,26,0,prefill,0,62
74,0,1,63,"blk.0.ffn_up_exps.weight",21,169,704000,118976000,704000,0,1,target,26,0,prefill,0,62
75,0,1,63,"blk.0.ffn_up_exps.weight",21,170,704000,119680000,704000,0,1,target,26,0,prefill,0,62
76,0,1,63,"blk.0.ffn_up_exps.weight",21,171,704000,120384000,704000,0,1,target,26,0,prefill,0,62
77,0,1,63,"blk.0.ffn_up_exps.weight",21,173,704000,121792000,704000,0,1,target,26,0,prefill,0,62
78,0,1,63,"blk.0.ffn_up_exps.weight",21,174,704000,122496000,704000,0,1,target,26,0,prefill,0,62
79,0,1,63,"blk.0.ffn_up_exps.weight",21,175,704000,123200000,704000,0,1,target,26,0,prefill,0,62
80,0,1,63,"blk.0.ffn_up_exps.weight",21,176,704000,123904000,704000,0,1,target,26,0,prefill,0,62
81,0,1,63,"blk.0.ffn_up_exps.weight",21,178,704000,125312000,704000,0,1,target,26,0,prefill,0,62
82,0,1,63,"blk.0.ffn_up_exps.weight",21,180,704000,126720000,704000,0,1,target,26,0,prefill,0,62
83,0,1,63,"blk.0.ffn_up_exps.weight",21,184,704000,129536000,704000,0,1,target,26,0,prefill,0,62
84,0,1,63,"blk.0.ffn_up_exps.weight",21,186,704000,130944000,704000,0,1,target,26,0,prefill,0,62
85,0,1,63,"blk.0.ffn_up_exps.weight",21,187,704000,131648000,704000,0,1,target,26,0,prefill,0,62
86,0,1,63,"blk.0.ffn_up_exps.weight",21,190,704000,133760000,704000,0,1,target,26,0,prefill,0,62
87,0,1,63,"blk.0.ffn_up_exps.weight",21,192,704000,135168000,704000,0,1,target,26,0,prefill,0,62
88,0,1,63,"blk.0.ffn_up_exps.weight",21,195,704000,137280000,704000,0,1,target,26,0,prefill,0,62
89,0,1,63,"blk.0.ffn_up_exps.weight",21,196,704000,137984000,704000,0,1,target,26,0,prefill,0,62
90,0,1,63,"blk.0.ffn_up_exps.weight",21,197,704000,138688000,704000,0,1,target,26,0,prefill,0,62
91,0,1,63,"blk.0.ffn_up_exps.weight",21,198,704000,139392000,704000,0,1,target,26,0,prefill,0,62
