seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
28,216,1,63,blk.12.ffn_up_exps.weight,22,84,524800,44083200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,793376832
29,216,1,63,blk.12.ffn_up_exps.weight,22,87,524800,45657600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,794951232
30,216,1,63,blk.12.ffn_up_exps.weight,22,90,524800,47232000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,796525632
31,216,1,63,blk.12.ffn_up_exps.weight,22,91,524800,47756800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,797050432
32,216,1,63,blk.12.ffn_up_exps.weight,22,93,524800,48806400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,798100032
33,216,1,63,blk.12.ffn_up_exps.weight,22,96,524800,50380800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,799674432
34,216,1,63,blk.12.ffn_up_exps.weight,22,98,524800,51430400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,800724032
35,216,1,63,blk.12.ffn_up_exps.weight,22,111,524800,58252800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,807546432
36,216,1,63,blk.12.ffn_up_exps.weight,22,120,524800,62976000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,812269632
37,216,1,63,blk.12.ffn_up_exps.weight,22,121,524800,63500800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,812794432
38,216,1,63,blk.12.ffn_up_exps.weight,22,127,524800,66649600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,815943232
39,216,1,63,blk.12.ffn_up_exps.weight,22,129,524800,67699200,524800,1,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,816992832
40,216,1,63,blk.12.ffn_up_exps.weight,22,130,524800,68224000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,817517632
41,216,1,63,blk.12.ffn_up_exps.weight,22,131,524800,68748800,524800,1,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,818042432
