timestamp,mem_available_kib,gpu_util_pct,vram_used_mib,vram_free_mib,scope_memory_current_bytes
2026-09-05T03:24:23+02:00,47741128,0,2359,29788,
2026-09-05T03:24:24+02:00,47490080,0,2863,29285,1251635200
2026-09-05T03:24:24+02:00,48055508,0,2863,29285,2850914304
2026-09-05T03:24:25+02:00,48129984,0,2863,29285,4125409280
2026-09-05T03:24:26+02:00,48119828,0,2863,29285,7106093056
2026-09-05T03:24:26+02:00,48066540,0,2863,29285,10293063680
2026-09-05T03:24:27+02:00,48077072,0,2863,29285,13463375872
2026-09-05T03:24:27+02:00,48211128,0,2863,29285,16311586816
2026-09-05T03:24:28+02:00,48196808,0,2863,29285,18951507968
2026-09-05T03:24:28+02:00,48198848,0,2863,29285,21885202432
2026-09-05T03:24:29+02:00,48237156,0,2863,29285,25028673536
2026-09-05T03:24:29+02:00,48211912,0,2863,29285,28183687168
2026-09-05T03:24:30+02:00,48359664,0,2863,29285,29238722560
2026-09-05T03:24:30+02:00,48337448,0,2863,29285,31363796992
2026-09-05T03:24:31+02:00,48356844,0,2863,29285,33822699520
2026-09-05T03:24:31+02:00,48394952,0,2863,29285,33822396416
2026-09-05T03:24:32+02:00,48345684,0,2863,29285,33823383552
2026-09-05T03:24:32+02:00,48323660,0,2863,29285,33822539776
2026-09-05T03:24:33+02:00,48211388,0,2863,29285,33822814208
2026-09-05T03:24:34+02:00,48194612,0,2863,29285,33822879744
2026-09-05T03:24:34+02:00,48189296,0,2863,29285,33823318016
2026-09-05T03:24:35+02:00,48177480,0,2863,29285,33823285248
2026-09-05T03:24:35+02:00,48166920,0,2863,29285,33822838784
2026-09-05T03:24:36+02:00,48133728,0,2863,29285,33823170560
2026-09-05T03:24:36+02:00,48126064,0,2863,29285,33823367168
2026-09-05T03:24:37+02:00,48134484,0,2863,29285,33823023104
2026-09-05T03:24:37+02:00,48132428,0,2863,29285,33822715904
2026-09-05T03:24:38+02:00,48031616,0,2863,29285,33822961664
2026-09-05T03:24:38+02:00,48026172,0,2863,29285,33822806016
2026-09-05T03:24:39+02:00,47999104,0,2863,29285,33822949376
2026-09-05T03:24:39+02:00,48019488,0,2863,29285,33822748672
2026-09-05T03:24:40+02:00,47961048,0,2863,29285,33823096832
2026-09-05T03:24:40+02:00,47960244,0,2863,29285,33823051776
2026-09-05T03:24:41+02:00,48076020,0,2863,29285,33823092736
2026-09-05T03:24:41+02:00,48078184,0,2863,29285,33823019008
2026-09-05T03:24:42+02:00,48069000,0,2863,29285,33823219712
2026-09-05T03:24:42+02:00,47771604,0,2863,29285,33822937088
2026-09-05T03:24:43+02:00,47754752,0,2863,29285,33823154176
2026-09-05T03:24:43+02:00,47655640,0,2863,29285,33823133696
2026-09-05T03:24:44+02:00,47549160,0,2863,29285,33823113216
2026-09-05T03:24:44+02:00,47518780,0,2863,29285,33823150080
2026-09-05T03:24:45+02:00,47431176,0,2863,29285,33823375360
2026-09-05T03:24:46+02:00,47432028,0,2863,29285,33823006720
2026-09-05T03:24:46+02:00,47431320,0,2863,29285,33823014912
2026-09-05T03:24:47+02:00,47427564,0,2863,29285,33822818304
2026-09-05T03:24:47+02:00,47358148,0,2863,29285,33822568448
2026-09-05T03:24:48+02:00,47358812,0,2863,29285,33823133696
2026-09-05T03:24:48+02:00,47325136,0,2863,29285,33823170560
2026-09-05T03:24:49+02:00,47311632,0,2863,29285,33822887936
2026-09-05T03:24:49+02:00,47334324,0,2863,29285,33822961664
2026-09-05T03:24:50+02:00,47330180,0,2863,29285,33823072256
2026-09-05T03:24:50+02:00,47559672,0,2863,29285,33823039488
2026-09-05T03:24:51+02:00,47565080,0,2863,29285,33823313920
2026-09-05T03:24:51+02:00,47511024,0,2863,29285,33822945280
