timestamp,mem_available_kib,gpu_util_pct,vram_used_mib,vram_free_mib,scope_memory_current_bytes
2026-09-05T03:23:10+02:00,43872392,0,2359,29788,
2026-09-05T03:23:10+02:00,43910576,0,2863,29285,1407799296
2026-09-05T03:23:11+02:00,44144004,0,2863,29285,3106758656
2026-09-05T03:23:11+02:00,44284772,0,2863,29285,4803616768
2026-09-05T03:23:12+02:00,44473496,0,2863,29285,5336379392
2026-09-05T03:23:13+02:00,44521600,0,2863,29285,8037089280
2026-09-05T03:23:13+02:00,44715196,0,2863,29285,9412276224
2026-09-05T03:23:14+02:00,44706352,0,2863,29285,12653740032
2026-09-05T03:23:14+02:00,44997760,0,2863,29285,13641707520
2026-09-05T03:23:15+02:00,45256068,0,2863,29285,14681509888
2026-09-05T03:23:15+02:00,45459832,0,2863,29285,15331577856
2026-09-05T03:23:16+02:00,45625060,0,2863,29285,16509816832
2026-09-05T03:23:16+02:00,45821020,0,2863,29285,17176903680
2026-09-05T03:23:17+02:00,46042856,0,2863,29285,18766385152
2026-09-05T03:23:17+02:00,46205716,0,2863,29285,20191805440
2026-09-05T03:23:18+02:00,46432464,0,2863,29285,20562006016
2026-09-05T03:23:19+02:00,46571980,0,2863,29285,20849573888
2026-09-05T03:23:19+02:00,46639408,0,2863,29285,21201104896
2026-09-05T03:23:20+02:00,46790412,0,2863,29285,21305409536
2026-09-05T03:23:20+02:00,46928004,0,2863,29285,21933666304
2026-09-05T03:23:21+02:00,47103268,0,2863,29285,24067084288
2026-09-05T03:23:21+02:00,47394340,0,2863,29285,24449642496
2026-09-05T03:23:22+02:00,47681896,0,2863,29285,24874090496
2026-09-05T03:23:23+02:00,47861292,0,2863,29285,26173698048
2026-09-05T03:23:23+02:00,47815784,0,2863,29285,29267062784
2026-09-05T03:23:24+02:00,47856448,0,2863,29285,32441909248
2026-09-05T03:23:24+02:00,47930488,0,2863,29285,33823019008
2026-09-05T03:23:25+02:00,47966868,0,2863,29285,33822851072
2026-09-05T03:23:25+02:00,47923768,0,2863,29285,33823289344
2026-09-05T03:23:26+02:00,47867820,0,2863,29285,33822834688
2026-09-05T03:23:26+02:00,47826856,0,2863,29285,33823002624
2026-09-05T03:23:27+02:00,47659196,0,2863,29285,33823072256
2026-09-05T03:23:27+02:00,47619080,0,2863,29285,33822998528
2026-09-05T03:23:28+02:00,47614360,0,2863,29285,33822838784
2026-09-05T03:23:28+02:00,47590916,0,2863,29285,33822978048
2026-09-05T03:23:29+02:00,47572440,0,2863,29285,33822744576
2026-09-05T03:23:29+02:00,47566616,0,2863,29285,33823252480
2026-09-05T03:23:30+02:00,47555492,0,2863,29285,33823309824
2026-09-05T03:23:30+02:00,47551724,0,2863,29285,33822625792
2026-09-05T03:23:31+02:00,47545880,0,2863,29285,33822834688
2026-09-05T03:23:31+02:00,47539812,0,2863,29285,33822892032
2026-09-05T03:23:32+02:00,47529184,0,2863,29285,33822355456
2026-09-05T03:23:32+02:00,47507616,0,2863,29285,33823064064
2026-09-05T03:23:33+02:00,47494408,0,2863,29285,33822703616
2026-09-05T03:23:34+02:00,47473844,0,2863,29285,33823096832
2026-09-05T03:23:34+02:00,47331932,0,2863,29285,33823305728
2026-09-05T03:23:35+02:00,47320312,0,2863,29285,33822851072
2026-09-05T03:23:35+02:00,47620360,0,2863,29285,33822830592
2026-09-05T03:23:36+02:00,47605424,0,2863,29285,33822908416
2026-09-05T03:23:36+02:00,47590484,0,2863,29285,33823047680
2026-09-05T03:23:37+02:00,47586328,0,2863,29285,33822785536
2026-09-05T03:23:37+02:00,47566360,0,2863,29285,33823027200
2026-09-05T03:23:38+02:00,47536000,0,2863,29285,33823092736
2026-09-05T03:23:38+02:00,47494608,0,2863,29285,33823121408
2026-09-05T03:23:39+02:00,47497460,0,2863,29285,33822920704
2026-09-05T03:23:39+02:00,47495336,0,2863,29285,33822961664
2026-09-05T03:23:40+02:00,47494644,0,2863,29285,33822949376
2026-09-05T03:23:40+02:00,47497996,0,2863,29285,33822969856
2026-09-05T03:23:41+02:00,47476900,0,2863,29285,33822736384
2026-09-05T03:23:41+02:00,47912928,0,2863,29285,33823055872
2026-09-05T03:23:42+02:00,47907664,0,2863,29285,33823076352
2026-09-05T03:23:43+02:00,47893048,0,2863,29285,33822957568
2026-09-05T03:23:43+02:00,47878144,0,2863,29285,33823277056
2026-09-05T03:23:44+02:00,47838772,0,2863,29285,33822736384
2026-09-05T03:23:44+02:00,47826284,0,2863,29285,33823150080
2026-09-05T03:23:45+02:00,47812492,0,2863,29285,33823113216
2026-09-05T03:23:45+02:00,47770116,0,2863,29285,33823002624
2026-09-05T03:23:46+02:00,47766816,0,2863,29285,33823100928
2026-09-05T03:23:46+02:00,47745316,0,2863,29285,33822752768
2026-09-05T03:23:47+02:00,47715216,0,2863,29285,33823043584
2026-09-05T03:23:47+02:00,47613964,0,2863,29285,33822908416
2026-09-05T03:23:48+02:00,47599208,0,2863,29285,33823092736
