timestamp,mem_available_kib,gpu_util_pct,vram_used_mib,vram_free_mib,scope_memory_current_bytes
2026-09-05T03:22:04+02:00,42742828,0,2359,29788,
2026-09-05T03:22:05+02:00,42558036,0,2863,29285,1017225216
2026-09-05T03:22:05+02:00,42523992,0,2863,29285,4804153344
2026-09-05T03:22:06+02:00,42763776,0,2863,29285,8725213184
2026-09-05T03:22:06+02:00,43223392,0,2863,29285,11568279552
2026-09-05T03:22:07+02:00,43365852,0,2863,29285,13153824768
2026-09-05T03:22:07+02:00,43498380,0,2863,29285,15307231232
2026-09-05T03:22:08+02:00,43474248,0,2863,29285,17948545024
2026-09-05T03:22:08+02:00,43512972,0,2863,29285,20469305344
2026-09-05T03:22:09+02:00,43522944,0,2863,29285,23073722368
2026-09-05T03:22:09+02:00,43523608,0,2863,29285,25996251136
2026-09-05T03:22:10+02:00,43562748,0,2863,29285,29003194368
2026-09-05T03:22:10+02:00,43593900,0,2863,29285,31865311232
2026-09-05T03:22:11+02:00,43643844,0,2863,29285,33822986240
2026-09-05T03:22:12+02:00,43588392,0,2863,29285,33822822400
2026-09-05T03:22:12+02:00,43554664,0,2863,29285,33823363072
2026-09-05T03:22:13+02:00,43524524,0,2863,29285,33822842880
2026-09-05T03:22:13+02:00,43501620,0,2863,29285,33822871552
2026-09-05T03:22:14+02:00,43459716,0,2863,29285,33822752768
2026-09-05T03:22:14+02:00,43323920,0,2863,29285,33823105024
2026-09-05T03:22:15+02:00,43390664,0,2863,29285,33823207424
2026-09-05T03:22:15+02:00,43411036,0,2863,29285,33822650368
2026-09-05T03:22:16+02:00,43422100,0,2863,29285,33822519296
2026-09-05T03:22:16+02:00,43416388,0,2863,29285,33823277056
2026-09-05T03:22:17+02:00,43409372,0,2863,29285,33823117312
2026-09-05T03:22:17+02:00,43415364,0,2863,29285,33822838784
2026-09-05T03:22:18+02:00,43419956,0,2863,29285,33822965760
2026-09-05T03:22:18+02:00,43430936,0,2863,29285,33823244288
2026-09-05T03:22:19+02:00,43425596,0,2863,29285,33823330304
2026-09-05T03:22:19+02:00,43422488,0,2863,29285,33822789632
2026-09-05T03:22:20+02:00,43484464,0,2863,29285,33823129600
2026-09-05T03:22:20+02:00,43435808,0,2863,29285,33822633984
2026-09-05T03:22:21+02:00,43430092,0,2863,29285,33823391744
2026-09-05T03:22:21+02:00,43405312,0,2863,29285,33822765056
2026-09-05T03:22:22+02:00,43389344,0,2863,29285,33822806016
2026-09-05T03:22:22+02:00,43345472,0,2863,29285,33822806016
2026-09-05T03:22:23+02:00,43567980,0,2863,29285,33822699520
2026-09-05T03:22:23+02:00,43531976,0,2863,29285,33823105024
2026-09-05T03:22:24+02:00,43476100,0,2863,29285,33823318016
2026-09-05T03:22:25+02:00,43782440,0,2863,29285,33823227904
2026-09-05T03:22:25+02:00,43916084,0,2863,29285,33822662656
2026-09-05T03:22:26+02:00,43928804,0,2863,29285,33822990336
2026-09-05T03:22:26+02:00,43841216,0,2863,29285,33822863360
2026-09-05T03:22:27+02:00,43755672,0,2863,29285,33822777344
2026-09-05T03:22:27+02:00,43737688,0,2863,29285,33823100928
2026-09-05T03:22:28+02:00,43730852,0,2863,29285,33822932992
2026-09-05T03:22:28+02:00,43712192,0,2863,29285,33822810112
2026-09-05T03:22:29+02:00,43688456,0,2863,29285,33822801920
2026-09-05T03:22:29+02:00,43662128,0,2863,29285,33822814208
2026-09-05T03:22:30+02:00,43636744,0,2863,29285,33823002624
2026-09-05T03:22:30+02:00,43555256,0,2863,29285,33823035392
2026-09-05T03:22:31+02:00,43462152,0,2863,29285,33823109120
2026-09-05T03:22:31+02:00,43591588,0,2863,29285,33822846976
2026-09-05T03:22:32+02:00,43585492,0,2863,29285,33822990336
2026-09-05T03:22:32+02:00,43575836,0,2863,29285,33822982144
2026-09-05T03:22:33+02:00,43574628,0,2863,29285,33823367168
2026-09-05T03:22:33+02:00,43580208,0,2863,29285,33822867456
2026-09-05T03:22:34+02:00,43561252,0,2863,29285,33823293440
2026-09-05T03:22:35+02:00,43574064,0,2863,29285,33823379456
2026-09-05T03:22:35+02:00,43581968,0,2863,29285,33823096832
2026-09-05T03:22:36+02:00,43568700,0,2863,29285,33823285248
2026-09-05T03:22:36+02:00,43562864,0,2863,29285,33823182848
2026-09-05T03:22:37+02:00,43559408,0,2863,29285,33822875648
2026-09-05T03:22:37+02:00,43541800,0,2863,29285,33822990336
2026-09-05T03:22:38+02:00,43549256,0,2863,29285,33823141888
2026-09-05T03:22:38+02:00,43549268,0,2863,29285,33822822400
2026-09-05T03:22:39+02:00,43536428,0,2863,29285,33823031296
